strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030901030201,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030203,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030204,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030205,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030206,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030301,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030302,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030303,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030304,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030402,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902020300,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902020401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902020700,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902020800,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902020900,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902021000,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902021100,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902021300,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040103,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040104,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902040105,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
